nome_entidade;cnpj_entidade;sigla
ASSOCIACAO ANTONIO VIEIRA;92.959.006/0008-85;ASAV
ASSOCIAÇÃO INSTITUTO NACIONAL DE MATEMÁTICA PURA E APLICADA;03.447.568/0001-43;IMPA
CENTRO FEDERAL DE EDUCAÇÃO, TECNOLÓGICA DE MINAS GERAIS;17.220.203/0001-96;CEFETMG
CENTRO FEDERAL DE EDUCAÇÃO, TECNOLOGICA DO RIO DE JANEIRO;42.441.758/0001-05;CEFETRJ
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO;43.586.056/0003-44;UNASP
CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO;03.226.149/0012-34;UniSALESIANO
CENTRO UNIVERSITÁRIO CLARETIANO DE BATATAIS;44.943.835/0001-50;CEUCLAR
CENTRO UNIVERSITÁRIO DE VOTUPORANGA;45.164.654/0001-99;UNIFEV
COLÉGIO PEDRO II;42.414.284/0001-02;CPDII
FACULDADES INTEGRADAS CLARETIANAS DE RIO CLARO;44.943.835/0002-31;UNINTER
FACULDADES INTEGRADAS CLARETIANAS DE SÃO PAULO;44.943.835/0003-12;FIC/SP
FUNDAÇÃO CENTRO DE CIÊNCIAS E EDUCAÇÃO, SUPERIOR A DISTÂNCIA DO ESTADO DO RIO DE JANEIRO;35.854.884/0001-26;CECIERJ
FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;FIOCRUZ
INSTITUTO DE EDUCAÇÃO SUPERIOR PRESIDENTE KENNEDY;00.737.302/0001-47;IESP
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;10.764.307/0001-12;IFBA
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA;10.783.898/0001-75;IFPB
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS;10.825.373/0001-55;IFAL
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE BRASÍLIA;10.791.831/0001-82;IFB
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS;10.870.883/0001-44;IFGO
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO;10.784.782/0001-50;IFMT
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO;10.475.689/0001-64;IFPE
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA;10.817.343/0001-05;IFRO
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA;10.839.508/0001-31;IFRR
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA;81.531.428/0001-62;IFSC
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO;10.882.594/0001-65;IFSP
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ;10.820.882/0001-95;IFAP
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS;10.792.928/0001-00;IFAM
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;35.005.347/0001-01;IFCE
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO;10.838.653/0001-06;IFES
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;10.735.145/0001-94;IFMA
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS;10.727.655/0001-10;IFNMG
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ;10.806.496/0001-49;IFPI
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE;10.877.412/0001-68;IFRN
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;10.637.926/0001-46;IFRS
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL CAMPUS BENTO GONÇALVES;94.728.821/0001-92;IFRS
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS;10.648.539/0001-05;IFSULDEMINAS
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS;10.742.006/0001-98;IFT
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO;10.695.891/0001-00;IFTM
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA;10.662.072/0001-58;IFFARROUP
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE;10.779.511/0001-07;IFF
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO;10.651.417/0001-78;IFGOIANO
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ;10.763.998/0001-30;IFPA
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE;10.729.992/0001-46;IFSUL
INSTITUTO METODISTA DE ENSINO SUPERIOR;44.351.146/0001-57;IMS
INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS;29.264.082/0001-63;INES
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;46.020.301/0001-88;PUC-CAMPINAS
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;60.990.751/0001-24;PUC-SP
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;33.555.921/0001-70;PUC-RJ
SOCIEDADE BRASILEIRA DE FÍSICA;52.444.700/0001-79;SBF
UNIVERDIDADE FEDERAL DO RIO GRANDE;94.877.586/0001-10;FURG
UNIVERSIDADE CATÓLICA DE SANTOS;58.191.008/0015-68;UNISANTOS
UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;82.804.642/0001-08;UniChapeco
UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;12.397.930/0001-00;UNILAB
UNIVERSIDADE DE BRASÍLIA;00.038.174/0001-43;UNB
UNIVERSIDADE DE CAXIAS DO SUL;88.648.761/0001-03;UCS
UNIVERSIDADE DE CRUZ ALTA;92.928.845/0001-60;UNICRUZ
UNIVERSIDADE DE PASSO FUNDO;92.034.321/0001-25;UPF
