curso,permanencia,qtde
Concluído,Ao menos 60 meses,668
Pendente de Informação,Sem Permanência,597
Concluído,Sem Permanência,441
Concluído,Menos que 60 meses,186
Reprovado,Sem Permanência,175
Evasão,Sem Permanência,138
Evasão,Ao menos 60 meses,28
Pendente de Informação,Ao menos 60 meses,25
Reprovado,Ao menos 60 meses,23
Cursando (Reingresso),Sem Permanência,18
Desligado,Sem Permanência,7
Concluído (Após Prazo Regular),Sem Permanência,5
Reprovado,Menos que 60 meses,3
Concluído (Após Prazo Regular),Menos que 60 meses,3
Evasão,Menos que 60 meses,2
Concluído (Após Prazo Regular),Ao menos 60 meses,1
